0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:59 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:59 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:43:36 +0700] "GET /luceneweb/ HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:43:36 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:43:36 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:43:51 +0700] "GET /luceneweb/ HTTP/1.1" 200 3873
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:43:51 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:43:51 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:05 +0700] "GET /luceneweb/ HTTP/1.1" 200 3873
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:05 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:11 +0700] "GET /luceneweb/ HTTP/1.1" 200 3873
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:11 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:11 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:20 +0700] "GET /luceneweb/ HTTP/1.1" 200 3873
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:20 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:40 +0700] "GET /luceneweb/ HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:40 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:40 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:46 +0700] "GET /luceneweb/ HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:44:46 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:01 +0700] "GET /luceneweb/ HTTP/1.1" 200 3872
